Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00272280586503986,-3.67175782035141E-05,0.00791457636554705,0,0,0,1.49829855979102,0.00128271766498655,-6.9217495080254E-06,2.80049005447544E-06,0.00559868305367329,-4.4471753001719E-08,0.00640931346181532,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/base_link.STL,,New_base_assy_abs-2,GLOBAL,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Camera_link,-0.00390786396615492,0.0131822072313309,2.87190157332445E-06,0,0,0,0.074981964325194,4.62881325791234E-05,8.85804419872042E-08,-2.55510964994389E-08,4.14640234530239E-06,-1.57303416653035E-08,4.37028600649143E-05,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Camera_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Camera_link.STL,,Intel_RealSense_Depth_Camera_D435-1,CAMERA,Axis_Depth_camera,Depth_camera,fixed,0.17888518,-0.0114999864649402,0.00574999135024001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Link01_FL,1.95829968144268E-07,0.0168303173296565,5.71467700205966E-08,0,0,0,0.0245744533216826,3.29879549918277E-06,6.11367384660365E-11,-1.60951220261676E-11,6.52571602481866E-06,1.36529043140221E-11,7.35828428979242E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_FL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_FL.STL,,Link01_Assembly-4,COSY_Link_01_FL,AoR_Joint_01_FL,Joint01_FL,revolute,0.115,0.0372500000000001,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Link02_FL,-0.000437125798171623,-1.88464421716772E-05,-0.0352542209493059,0,0,0,0.220405984584206,0.000106987697500263,1.83885443973576E-08,2.81334858636883E-09,0.000108516929863687,-9.92554160155792E-07,3.71662375644544E-05,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_FL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_FL.STL,,Link02_Assembly-2,COSY_Link_02_FL,AoR_Joint_02_FL,Joint02_FL,revolute,0,0.0519999999999999,0,0,0,0,Link01_FL,0,-1,0,0,0,0,0,,,,,,,,
Link03_FL,0.005552762266078,-0.000220584171939625,-0.0443220523799636,0,0,0,0.0743342321888104,0.000130019971008441,-2.66795558083886E-07,8.31939309263861E-06,0.000133743813949422,3.41075866410913E-06,7.65491354095075E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_FL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_FL.STL,,Link03_LowerLeg_light_sensor_deviated-2,COSY_Link_03_FL,AoR_Joint_03_FL,Joint03_FL,revolute,0,0.034500000000004,-0.0706559599494836,0,0,0,Link02_FL,0,-1,0,0,0,0,0,,,,,,,,
Link04_FL,0.00545320862511998,-0.00258394389565503,0.0121232300830035,0,0,0,0.00626589308588588,4.82096951052719E-07,1.75274726317129E-08,1.33162993512649E-09,6.96561231884386E-07,3.89659788743316E-08,4.84458328290788E-07,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_FL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_FL.STL,,foot-2,Origin_Joint04_FL,Axis_Joint04_FL,Joint04_FL,fixed,-0.00552489336542444,0.00649625121503115,-0.139873018931591,0,0,0,Link03_FL,0,0,0,,,,,,,,,,,,
Link01_FR,-1.95829965826677E-07,-0.0168303173296563,5.7146766442993E-08,0,0,0,0.0245744533216827,3.29879549918277E-06,6.11367384613006E-11,1.60951220678221E-11,6.52571602481866E-06,-1.36529043147557E-11,7.35828428979242E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_FR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_FR.STL,,Link01_Assembly-1,COSY_Link_01_FR,AoR_Joint_01_FR,Joint01_FR,revolute,0.115,-0.03725,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link02_FR,-0.000436940324672896,-8.93864434264868E-06,-0.0352457561569636,0,0,0,0.220441311521433,0.000107038942656919,-1.61303915212815E-08,3.60818250187289E-10,0.0001085751301116,9.93977122714184E-07,3.71703603865106E-05,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_FR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_FR.STL,,Link02_Flipped_Assembly-2,COSY_Link_02_FR,AoR_Joint_02_FR,Joint02_FR,revolute,0,-0.0519999999999989,0,0,0,0,Link01_FR,0,1,0,0,0,0,0,,,,,,,,
Link03_FR,0.0103381366618193,0.000668290462673374,-0.0420847223107546,0,0,0,0.0451347487196663,7.72317229165012E-05,6.79211659418481E-07,1.33364214360967E-05,8.0840973666499E-05,-3.2430428375675E-06,7.01633087299087E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_FR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_FR.STL,,Link03_LowerLeg_light_sensor_deviated_flipped-1,COSY_Link_03_FR,AoR_Joint_03_FR,Join03_FR,revolute,0,-0.0345000000000018,-0.0704999999998448,0,0,0,Link02_FR,0,1,0,0,0,0,0,,,,,,,,
Link04_FR,0.00382764288921236,0.00258394378286642,0.0127302531714441,0,0,0,0.006265893042007,4.81793088091217E-07,-1.23026467172338E-08,9.81475379879534E-10,6.96561256517696E-07,-4.09170416976371E-08,4.84762211731799E-07,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_FR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_FR.STL,,foot-1,Origin_Joint04_FR,Axis_Joint04_FR,Joint04_FR,fixed,0.0127616066486203,-0.00649625121503301,-0.139555655049002,0,0,0,Link03_FR,0,0,0,,,,,,,,,,,,
Link01_BL,1.95829969171224E-07,0.0168303173296564,5.71467728110966E-08,0,0,0,0.0245744533216826,3.29879549918276E-06,6.11367384641536E-11,-1.60951219817188E-11,6.52571602481865E-06,1.36529043145388E-11,7.35828428979241E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_BL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_BL.STL,,Link01_Assembly-2,COSY_Link_01_BL,AoR_Joint_01_BL,Joint01_BL,revolute,-0.115,0.03725,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
Link02_BL,0.000436940324640728,8.93864434040048E-06,-0.0352457561571844,0,0,0,0.220441311521433,0.000107038942656919,-1.61303915222247E-08,-3.60818317056724E-10,0.000108575130111599,-9.93977122714139E-07,3.71703603865106E-05,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_BL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_BL.STL,,Link02_Flipped_Assembly-1,COSY_Link_02_BL,AoR_Joint_02_BL,Joint02_BL,revolute,0,0.0520000000000011,0,0,0,0,Link01_BL,0,-1,0,0,0,0,0,,,,,,,,
Link03_BL,-0.00476837395887103,0.010431579542845,-0.0409735883765803,0,0,0,0.045135822194835,7.94856986323855E-05,2.50996535304516E-07,-3.81592182496782E-06,8.08415522990731E-05,3.30387213365292E-06,4.76293666612197E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_BL.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_BL.STL,,Link03_LowerLeg_light_sensor_deviated_flipped-2,COSY_Link_03_BL,AoR_Joint_03_BL,Joint03_BL,revolute,0,0.0234,-0.0726000000000638,0,0,0,Link02_BL,0,-1,0,0,0,0,0,,,,,,,,
Link04_BL,-0.00545320781521509,-0.00258394358362757,0.0121232286738243,0,0,0,0.00626589208526502,4.82096870687528E-07,-1.75274631279306E-08,-1.33167693642831E-09,6.96561126415961E-07,3.89659596987123E-08,4.84458297197818E-07,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_BL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link04_BL.STL,,foot-6,Origin_Joint04_BL,Axis_Joint04_BL,Joint04_BL,fixed,0.0055148060583165,0.0175914713205365,-0.137906553090082,0,0,0,Link03_BL,0,0,0,,,,,,,,,,,,
Link01_BR,-1.95829968019368E-07,-0.0168303173296567,5.71467716131563E-08,0,0,0,0.0245744533216826,3.29879549918277E-06,6.11367384623478E-11,1.60951220251218E-11,6.52571602481865E-06,-1.36529043145432E-11,7.35828428979241E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_BR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link01_BR.STL,,Link01_Assembly-3,COSY_Link_01_BR,AoR_Joint_01_BR,Joint01_BR,revolute,-0.115,-0.0372499999999998,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
Link02_BR,0.0004371257471876,1.88464423718643E-05,-0.0352542210576594,0,0,0,0.220405984589035,0.000106987697508889,1.83885445885776E-08,-2.81335197671822E-09,0.00010851692987361,9.92554160635395E-07,3.71662375657912E-05,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_BR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link02_BR.STL,,Link02_Assembly-1,COSY_Link_02_BR,AoR_Joint_02_BR,Joint02_BR,revolute,0,-0.0520000000000002,0,0,0,0,Link01_BR,0,1,0,0,0,0,0,,,,,,,,
Link03_BR,-0.00555276219513652,-0.0108794158181763,-0.0423780125079394,0,0,0,0.0743342319864427,0.000130019970355013,-2.66795552396677E-07,-8.31939290119869E-06,0.00013374381325886,-3.41075865279684E-06,7.65491350266798E-06,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_BR.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://metal_head_v1m1_m4_with_arm_fixed_4/meshes/Link03_BR.STL,,Link03_LowerLeg_light_sensor_deviated-3,COSY_Link_03_BR,AoR_Joint_03_BR,Joint03_BR,revolute,0,-0.0234000000000017,-0.0725999997976657,0,0,0,Link02_BR,0,1,0,0,0,0,0,,,,,,,,
